;kostya_file;filename;size;accession;sample;subsample;treatment
535;EGAF00002340730/22101_3#4.cram;22101_3#4;1.5G;EGAN00001938970;MSM0.110;s1;DMH (11,6 mM) + S9
536;EGAF00002339995/22152_5#5.cram;22152_5#5;1.5G;EGAN00001938961;MSM0.101;s1;Cyclophosphamide (60 uM) + S9
537;EGAF00002340295/22101_7#13.cram;22101_7#13;1.8G;EGAN00001938958;MSM0.127;s1;MeOH Control (4,3%) + S9
538;EGAF00002338629/19847_2#9.cram;19847_2#9;4.2G;EGAN00001437487;MSM0.50;s2;1,6-DNP (0,09 uM)
539;EGAF00002338175/22211_5#25.cram;22211_5#25;1.3G;EGAN00001938989;MSM0.98;s2;Nickel (II) chloride (412,5 uM)
540;EGAF00002339011/22217_1#5.cram;22217_1#5;1.5G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
541;EGAF00002340396/24709_5#3.cram;24709_5#3;6.0G;EGAN00001939040;MSM0.120;s1;MeOH Control (1,3%)
542;EGAF00002338998/21217_1.cram;21217_1;35G;EGAN00001437539;MSM0.74;s1;DBAC (5 uM) + S9
543;EGAF00002338338/22211_8#1.cram;22211_8#1;1.7G;EGAN00001437335;MSM0.15;s2;Mitomycin C (0,313 uM)
544;EGAF00002339606/16534_3#91.cram;16534_3#91;3.9G;EGAN00001437325;MSM0.1;s2;H2O Control (0,1%)
545;EGAF00002340420/22150_4#3.cram;22150_4#3;1.6G;EGAN00001938956;MSM0.104;s2;Formaldehyde (120 uM)
546;EGAF00002340228/22152_7#16.cram;22152_7#16;1.7G;EGAN00001938950;MSM0.105;s3;Acetaldehyde (12 mM)
547;EGAF00002340326/22152_8#3.cram;22152_8#3;1.3G;EGAN00001938956;MSM0.104;s2;Formaldehyde (120 uM)
548;EGAF00002338690/17450_6.cram;17450_6;33G;EGAN00001437367;MSM0.20;s2;Cadmium chloride (2,5 uM)
549;EGAF00002339154/21866_8.cram;21866_8;37G;EGAN00001938917;MSM0.109;s1;Peroxynitrite (30 uM)
550;EGAF00002340448/22156_5#14.cram;22156_5#14;1.6G;EGAN00001938965;MSM0.118;s2;DMSO Control (0,5%) + HS9
551;EGAF00002339582/22150_4#19.cram;22150_4#19;1.7G;EGAN00001938974;MSM0.119;s2;DMSO Control (0,5%) + S9
552;EGAF00002339907/22152_3#23.cram;22152_3#23;1.4G;EGAN00001938964;MSM0.118;s1;DMSO Control (0,5%) + HS9
553;EGAF00002340162/23098_8#1.cram;23098_8#1;11G;EGAN00001938957;MSM0.104;s3;Formaldehyde (120 uM)
554;EGAF00002340199/22101_7#4.cram;22101_7#4;1.5G;EGAN00001938970;MSM0.110;s1;DMH (11,6 mM) + S9
555;EGAF00002339902/22152_3#18.cram;22152_3#18;1.3G;EGAN00001938977;MSM0.107;s2;2,6-Dimethylaniline (11 mM) + S9
556;EGAF00002339469/22217_8#11.cram;22217_8#11;1.3G;EGAN00001437529;MSM0.64;s3;N-Nitrosopyrrolidine (50 mM)
557;EGAF00002338234/22211_6#3.cram;22211_6#3;1.4G;EGAN00001437347;MSM0.9;s6;DMSO Control (0,1%)
558;EGAF00002338460/22216_2#16.cram;22216_2#16;1.5G;EGAN00001938983;MSM0.83;s2;Cisplatin (12,5 uM)
559;EGAF00002340416/22101_8#23.cram;22101_8#23;1.6G;EGAN00001938964;MSM0.118;s1;DMSO Control (0,5%) + HS9
560;EGAF00002338744/22216_5#6.cram;22216_5#6;1.4G;EGAN00001437491;MSM0.53;s6;Glycidamide (475 uM)
561;EGAF00002339378/22217_6#26.cram;22217_6#26;1.3G;EGAN00001938982;MSM0.83;s1;Cisplatin (12,5 uM)
562;EGAF00002339435/22211_3#6.cram;22211_3#6;1.4G;EGAN00001437491;MSM0.53;s6;Glycidamide (475 uM)
563;EGAF00002338433/19846_6#4.cram;19846_6#4;4.6G;EGAN00001437480;MSM0.51;s2;Catechol (5,5 uM)
564;EGAF00002338636/19847_3#7.cram;19847_3#7;4.5G;EGAN00001437484;MSM0.46;s5;Cobalt (II) chloride (250 uM)
565;EGAF00002339719/22152_2#21.cram;22152_2#21;1.5G;EGAN00001938959;MSM0.127;s2;MeOH Control (4,3%) + S9
566;EGAF00002338988/21071_1.cram;21071_1;38G;EGAN00001437427;MSM0.44;s3;PhIP (3 uM) + S9
567;EGAF00002338196/22746_2#13.cram;22746_2#13;2.3G;EGAN00001938993;MSM0.90;s4;PhIP (4 uM) + S9
568;EGAF00002339602/22152_1#15.cram;22152_1#15;1.4G;EGAN00001938971;MSM0.110;s2;DMH (11,6 mM) + S9
569;EGAF00002339700/22152_2#2.cram;22152_2#2;1.3G;EGAN00001938967;MSM0.103;s1;DBADE (0,109 uM)
570;EGAF00002338916/20627_7.cram;20627_7;33G;EGAN00001437412;MSM0.34;s1;Formaldehyde (85,5 uM)
571;EGAF00002339366/22217_6#12.cram;22217_6#12;1.4G;EGAN00001437534;MSM0.68;s3;DMS (0,078 mM)
572;EGAF00002339731/22156_7#20.cram;22156_7#20;1.5G;EGAN00001938943;MSM0.111;s1;Benzidine (200 uM)
573;EGAF00002338753/22216_5#15.cram;22216_5#15;1.5G;EGAN00001437541;MSM0.74;s3;DBAC (5 uM) + S9
574;EGAF00002340305/22101_7#23.cram;22101_7#23;1.6G;EGAN00001938964;MSM0.118;s1;DMSO Control (0,5%) + HS9
575;EGAF00002340719/22101_2#17.cram;22101_2#17;1.6G;EGAN00001938952;MSM0.122;s1;MX (7 uM) + S9
576;EGAF00002339865/22100_3#22.cram;22100_3#22;1.6G;EGAN00001938976;MSM0.107;s1;2,6-Dimethylaniline (11 mM) + S9
577;EGAF00002339076/21823_5.cram;21823_5;34G;EGAN00001938885;MSM0.80;s1;o-Anisidine (6 mM) + S9
578;EGAF00002339829/22100_2#10.cram;22100_2#10;1.5G;EGAN00001938949;MSM0.105;s1;Acetaldehyde (12 mM)
579;EGAF00002340095/22152_5#18.cram;22152_5#18;1.3G;EGAN00001938977;MSM0.107;s2;2,6-Dimethylaniline (11 mM) + S9
580;EGAF00002338157/22211_5#5.cram;22211_5#5;1.5G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
581;EGAF00002338376/23125_5#2.cram;23125_5#2;8.1G;EGAN00001938904;MSM0.97;s3;2-Nitrofluorene (40 uM)
582;EGAF00002339810/22914_2#8.cram;22914_2#8;3.0G;EGAN00001939006;MSM0.114;s1;2-Naphthylamine (200 uM) + HS9
583;EGAF00002339056/19056_3#3.cram;19056_3#3;4.3G;EGAN00001437419;MSM0.42;s1;DBA (75 uM) + S9
584;EGAF00002338560/22216_3#8.cram;22216_3#8;1.4G;EGAN00001437497;MSM0.55;s3;Furan (100 mM) + S9
585;EGAF00002338886/18962_4#3.cram;18962_4#3;3.9G;EGAN00001437415;MSM0.30;s2;Potassium chromate (7,5 uM)
586;EGAF00002339422/22211_2#16.cram;22211_2#16;1.5G;EGAN00001938983;MSM0.83;s2;Cisplatin (12,5 uM)
587;EGAF00002339520/22211_4#10.cram;22211_4#10;1.5G;EGAN00001437520;MSM0.63;s3;Propylene oxide (10 mM)
588;EGAF00002338341/22211_8#5.cram;22211_8#5;1.4G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
589;EGAF00002339061/19056_3#8.cram;19056_3#8;4.2G;EGAN00001437426;MSM0.44;s2;PhIP (3 uM) + S9
590;EGAF00002338778/18928_4#1.cram;18928_4#1;4.0G;EGAN00001437410;MSM0.29;s1;1-Nitropyrene (1,75 uM) + S9
591;EGAF00002340153/23031_6#1.cram;23031_6#1;9.7G;EGAN00001938930;MSM0.102;s5;Potassium bromate (875 uM)
592;EGAF00002339627/17750_3#12.cram;17750_3#12;3.3G;EGAN00001437325;MSM0.1;s2;H2O Control (0,1%)
593;EGAF00002340346/22746_3#4.cram;22746_3#4;2.2G;EGAN00001939008;MSM0.114;s5;2-Naphthylamine (200 uM) + HS9
594;EGAF00002339817/22914_3#5.cram;22914_3#5;2.5G;EGAN00001939009;MSM0.123;s1;Semustine (700 uM) + S9
595;EGAF00002339524/22211_4#14.cram;22211_4#14;1.5G;EGAN00001437538;MSM0.66;s3;Mechlorethamine (0,3 uM)
596;EGAF00002340407/22101_8#14.cram;22101_8#14;1.7G;EGAN00001938965;MSM0.118;s2;DMSO Control (0,5%) + HS9
597;EGAF00002339234/19221_8#4.cram;19221_8#4;3.0G;EGAN00001437448;MSM0.31;s6;Styrene oxide (75 uM)
598;EGAF00002338711/18160_4.cram;18160_4;37G;EGAN00001437385;MSM0.28;s2;Nickel (II) chloride (300 uM)
599;EGAF00002338524/19846_7#3.cram;19846_7#3;4.2G;EGAN00001437479;MSM0.51;s1;Catechol (5,5 uM)
600;EGAF00002339322/19226_7#7.cram;19226_7#7;3.3G;EGAN00001437453;MSM0.36;s2;Lead (II) acetate (75 uM)
601;EGAF00002339535/22217_8#21.cram;22217_8#21;1.4G;EGAN00001939002;MSM0.90;s3;PhIP (4 uM) + S9
602;EGAF00002338942/22216_8#18.cram;22216_8#18;1.4G;EGAN00001939000;MSM0.93;s2;6-Nitrochrysene (50 uM) + S9
603;EGAF00002340262/24207_7#1.cram;24207_7#1;11G;EGAN00001939025;MSM0.128;s2;Media Control
604;EGAF00002338899/20519_7#1.cram;20519_7#1;2.7G;EGAN00001437490;MSM0.53;s2;Glycidamide (475 uM)
605;EGAF00002338491/16527_6#94.cram;16527_6#94;3.9G;EGAN00001437330;MSM0.15;s1;Mitomycin C (0,313 uM)
606;EGAF00002339093/21866_5.cram;21866_5;38G;EGAN00001938880;MSM0.75;s1;Temozolomide (200 uM)
607;EGAF00002338272/22746_8#12.cram;22746_8#12;2.4G;EGAN00001938992;MSM0.130;s3;DBC (1,5 uM)
608;EGAF00002338586/23824_7#4.cram;23824_7#4;6.2G;EGAN00001939022;MSM0.132;s1;DBP (0,0313 uM) + S9
609;EGAF00002340201/22152_6#13.cram;22152_6#13;1.5G;EGAN00001938958;MSM0.127;s1;MeOH Control (4,3%) + S9
610;EGAF00002339659/22156_7#6.cram;22156_7#6;1.4G;EGAN00001938944;MSM0.111;s2;Benzidine (200 uM)
611;EGAF00002339614/16544_3#91.cram;16544_3#91;3.8G;EGAN00001437325;MSM0.1;s2;H2O Control (0,1%)
612;EGAF00002338298/19793_5#1.cram;19793_5#1;4.9G;EGAN00001437460;MSM0.45;s2;H2O Control (0,1%)
613;EGAF00002339556/22417_1#8.cram;22417_1#8;1.4G;EGAN00001437497;MSM0.55;s3;Furan (100 mM) + S9
614;EGAF00002339018/22217_1#12.cram;22217_1#12;1.4G;EGAN00001437534;MSM0.68;s3;DMS (0,078 mM)
615;EGAF00002339640/22156_6#11.cram;22156_6#11;1.3G;EGAN00001938962;MSM0.101;s2;Cyclophosphamide (60 uM) + S9
616;EGAF00002338751/22216_5#13.cram;22216_5#13;1.6G;EGAN00001437526;MSM0.65;s4;MeIQX (300 uM)
617;EGAF00002340235/22746_1#2.cram;22746_1#2;2.3G;EGAN00001938996;MSM0.121;s4;2-Naphthylamine (200 uM)
618;EGAF00002339142/19058_8#3.cram;19058_8#3;8.5G;EGAN00001437407;MSM0.33;s2;Bleomycin (0,188 uM)
619;EGAF00002338617/17193_6.cram;17193_6;38G;EGAN00001437337;MSM0.8;s2;Media Control
620;EGAF00002338122/19684_4#4.cram;19684_4#4;4.5G;EGAN00001437464;MSM0.54;s1;5-Methylchrysene (1,6 uM) + S9
621;EGAF00002338666/22216_4#10.cram;22216_4#10;1.5G;EGAN00001437520;MSM0.63;s3;Propylene oxide (10 mM)
622;EGAF00002340417/22101_8#24.cram;22101_8#24;1.5G;EGAN00001938955;MSM0.104;s1;Formaldehyde (120 uM)
623;EGAF00002338727/20024_4#3.cram;20024_4#3;5.7G;EGAN00001437495;MSM0.55;s1;Furan (100 mM) + S9
624;EGAF00002339354/22211_2#6.cram;22211_2#6;1.4G;EGAN00001437491;MSM0.53;s6;Glycidamide (475 uM)
625;EGAF00002338572/22216_3#22.cram;22216_3#22;1.5G;EGAN00001938979;MSM0.87;s2;3-NBA (0,1 uM)
626;EGAF00002340012/22216_2#2.cram;22216_2#2;1.5G;EGAN00001437344;MSM0.12;s4;DBP (0,0039 uM)
627;EGAF00002340248/22746_2#4.cram;22746_2#4;2.3G;EGAN00001939008;MSM0.114;s5;2-Naphthylamine (200 uM) + HS9
628;EGAF00002340709/22101_2#7.cram;22101_2#7;1.7G;EGAN00001938953;MSM0.122;s2;MX (7 uM) + S9
629;EGAF00002339365/22217_6#11.cram;22217_6#11;1.3G;EGAN00001437529;MSM0.64;s3;N-Nitrosopyrrolidine (50 mM)
630;EGAF00002339578/16533_3#91.cram;16533_3#91;4.1G;EGAN00001437325;MSM0.1;s2;H2O Control (0,1%)
631;EGAF00002340272/24243_3#2.cram;24243_3#2;7.9G;EGAN00001939029;MSM0.124;s1;Methyleugenol (1,25 mM)
632;EGAF00002338910/20627_1.cram;20627_1;31G;EGAN00001437353;MSM0.14;s3;DBADE (0,0313 uM)
633;EGAF00002338426/19846_5#6.cram;19846_5#6;4.8G;EGAN00001437483;MSM0.46;s1;Cobalt (II) chloride (250 uM)
634;EGAF00002338761/22216_5#25.cram;22216_5#25;1.2G;EGAN00001938989;MSM0.98;s2;Nickel (II) chloride (412,5 uM)
635;EGAF00002340463/22746_6#1.cram;22746_6#1;2.1G;EGAN00001938995;MSM0.121;s3;2-Naphthylamine (200 uM)
636;EGAF00002340138/22217_7#2.cram;22217_7#2;1.5G;EGAN00001437344;MSM0.12;s4;DBP (0,0039 uM)
637;EGAF00002340339/22152_8#16.cram;22152_8#16;1.7G;EGAN00001938950;MSM0.105;s3;Acetaldehyde (12 mM)
638;EGAF00002339133/19056_5#6.cram;19056_5#6;5.4G;EGAN00001437417;MSM0.43;s2;4-ABP (40 uM) + S9
639;EGAF00002338627/19847_2#7.cram;19847_2#7;4.4G;EGAN00001437484;MSM0.46;s5;Cobalt (II) chloride (250 uM)
640;EGAF00002339138/19058_7#3.cram;19058_7#3;8.0G;EGAN00001437407;MSM0.33;s2;Bleomycin (0,188 uM)
641;EGAF00002339714/22152_2#16.cram;22152_2#16;1.7G;EGAN00001938950;MSM0.105;s3;Acetaldehyde (12 mM)
642;EGAF00002338693/17682_5.cram;17682_5;39G;EGAN00001437360;MSM0.13;s1;DBPDE (0,000156 uM)
643;EGAF00002340308/22101_8#2.cram;22101_8#2;1.5G;EGAN00001938967;MSM0.103;s1;DBADE (0,109 uM)
644;EGAF00002338474/23130_7#3.cram;23130_7#3;12G;EGAN00001938984;MSM0.83;s3;Cisplatin (12,5 uM)
645;EGAF00002339569/16525_3#91.cram;16525_3#91;4.2G;EGAN00001437325;MSM0.1;s2;H2O Control (0,1%)
646;EGAF00002340111/22152_6#10.cram;22152_6#10;1.3G;EGAN00001938949;MSM0.105;s1;Acetaldehyde (12 mM)
647;EGAF00002338380/16223_5.cram;16223_5;46G;EGAN00001437318;MSM0.4;s1;DMSO Control (0,68%)
648;EGAF00002339185/22217_3#16.cram;22217_3#16;1.5G;EGAN00001938983;MSM0.83;s2;Cisplatin (12,5 uM)
649;EGAF00002339550/22417_1#1.cram;22417_1#1;1.7G;EGAN00001437335;MSM0.15;s2;Mitomycin C (0,313 uM)
650;EGAF00002339839/22100_2#20.cram;22100_2#20;1.7G;EGAN00001938943;MSM0.111;s1;Benzidine (200 uM)
651;EGAF00002339053/19056_2#8.cram;19056_2#8;4.3G;EGAN00001437426;MSM0.44;s2;PhIP (3 uM) + S9
652;EGAF00002339820/22914_3#8.cram;22914_3#8;3.1G;EGAN00001939006;MSM0.114;s1;2-Naphthylamine (200 uM) + HS9
653;EGAF00002340218/22152_7#6.cram;22152_7#6;1.4G;EGAN00001938944;MSM0.111;s2;Benzidine (200 uM)
654;EGAF00002338607/16544_8#88.cram;16544_8#88;3.5G;EGAN00001437321;MSM0.2;s1;BPDE (0,125 uM)
655;EGAF00002338153/22211_4#26.cram;22211_4#26;1.3G;EGAN00001938982;MSM0.83;s1;Cisplatin (12,5 uM)
656;EGAF00002338436/22211_8#15.cram;22211_8#15;1.5G;EGAN00001437541;MSM0.74;s3;DBAC (5 uM) + S9
657;EGAF00002339851/22100_3#8.cram;22100_3#8;1.8G;EGAN00001938968;MSM0.103;s5;DBADE (0,109 uM)
658;EGAF00002338342/22211_8#6.cram;22211_8#6;1.3G;EGAN00001437491;MSM0.53;s6;Glycidamide (475 uM)
659;EGAF00002339173/22210_1#10.cram;22210_1#10;1.4G;EGAN00001437520;MSM0.63;s3;Propylene oxide (10 mM)
660;EGAF00002339949/22101_1#24.cram;22101_1#24;1.6G;EGAN00001938955;MSM0.104;s1;Formaldehyde (120 uM)
661;EGAF00002339827/22100_2#8.cram;22100_2#8;1.8G;EGAN00001938968;MSM0.103;s5;DBADE (0,109 uM)
662;EGAF00002340503/24712_7#3.cram;24712_7#3;6.0G;EGAN00001939035;MSM0.125;s2;Methyleugenol (1,9 mM) + S9
663;EGAF00002340443/22156_5#9.cram;22156_5#9;1.4G;EGAN00001938946;MSM0.108;s2;MNNG (0,75 uM)
664;EGAF00002339930/22211_1#2.cram;22211_1#2;1.6G;EGAN00001437344;MSM0.12;s4;DBP (0,0039 uM)
665;EGAF00002339636/22156_6#7.cram;22156_6#7;1.5G;EGAN00001938953;MSM0.122;s2;MX (7 uM) + S9
666;EGAF00002339298/19221_8#10.cram;19221_8#10;3.2G;EGAN00001437451;MSM0.41;s4;Ellipticine (0,375 uM) + S9
667;EGAF00002339501/22211_3#14.cram;22211_3#14;1.5G;EGAN00001437538;MSM0.66;s3;Mechlorethamine (0,3 uM)
668;EGAF00002339906/22152_3#22.cram;22152_3#22;1.3G;EGAN00001938976;MSM0.107;s1;2,6-Dimethylaniline (11 mM) + S9
669;EGAF00002339181/22210_1#18.cram;22210_1#18;1.4G;EGAN00001939000;MSM0.93;s2;6-Nitrochrysene (50 uM) + S9
670;EGAF00002340376/24709_1#3.cram;24709_1#3;6.2G;EGAN00001939035;MSM0.125;s2;Methyleugenol (1,9 mM) + S9
671;EGAF00002338963/18962_6#5.cram;18962_6#5;4.4G;EGAN00001437428;MSM0.38;s1;1,4-Benzoquinone (5 uM)
672;EGAF00002340440/22156_5#6.cram;22156_5#6;1.4G;EGAN00001938944;MSM0.111;s2;Benzidine (200 uM)
673;EGAF00002339660/22156_7#7.cram;22156_7#7;1.5G;EGAN00001938953;MSM0.122;s2;MX (7 uM) + S9
674;EGAF00002338941/22216_8#17.cram;22216_8#17;1.7G;EGAN00001938999;MSM0.93;s1;6-Nitrochrysene (50 uM) + S9
675;EGAF00002339644/22156_6#15.cram;22156_6#15;1.5G;EGAN00001938971;MSM0.110;s2;DMH (11,6 mM) + S9
676;EGAF00002340191/22101_6#20.cram;22101_6#20;1.7G;EGAN00001938943;MSM0.111;s1;Benzidine (200 uM)
677;EGAF00002339048/19056_2#3.cram;19056_2#3;4.4G;EGAN00001437419;MSM0.42;s1;DBA (75 uM) + S9
678;EGAF00002340131/22217_4#20.cram;22217_4#20;1.5G;EGAN00001938986;MSM0.100;s2;2,6-Dimethylaniline (3,8 mM)
679;EGAF00002338578/23627_7#6.cram;23627_7#6;6.4G;EGAN00001939024;MSM0.132;s3;DBP (0,0313 uM) + S9
680;EGAF00002338622/17218_2.cram;17218_2;34G;EGAN00001437354;MSM0.18;s1;Etoposide (0,0188 uM)
681;EGAF00002338484/23627_6#1.cram;23627_6#1;5.8G;EGAN00001939019;MSM0.131;s1;DMSO Control (0,1%) + S9
682;EGAF00002339318/19226_7#3.cram;19226_7#3;3.6G;EGAN00001437447;MSM0.31;s4;Styrene oxide (75 uM)
683;EGAF00002340064/22101_5#4.cram;22101_5#4;1.5G;EGAN00001938970;MSM0.110;s1;DMH (11,6 mM) + S9
684;EGAF00002340496/24709_8#1.cram;24709_8#1;6.3G;EGAN00001939038;MSM0.106;s2;Semustine (150 uM)
685;EGAF00002338142/19684_8#2.cram;19684_8#2;6.0G;EGAN00001437471;MSM0.48;s2;Camptothecin (0,0063 uM)
686;EGAF00002339925/22210_1#19.cram;22210_1#19;1.4G;EGAN00001938985;MSM0.100;s1;2,6-Dimethylaniline (3,8 mM)
687;EGAF00002339139/19058_7#4.cram;19058_7#4;8.2G;EGAN00001437408;MSM0.35;s1;Potassium bromate (260 uM)
688;EGAF00002339632/21870_8#1.cram;21870_8#1;34G;EGAN00001938937;MSM0.126;s1;4-ABP (300 uM) + S9
689;EGAF00002339306/19226_5#9.cram;19226_5#9;3.1G;EGAN00001437442;MSM0.37;s2;DMSO Control (0,1%) + S9
690;EGAF00002340296/22101_7#14.cram;22101_7#14;1.7G;EGAN00001938965;MSM0.118;s2;DMSO Control (0,5%) + HS9
691;EGAF00002338165/22211_5#13.cram;22211_5#13;1.6G;EGAN00001437526;MSM0.65;s4;MeIQX (300 uM)
692;EGAF00002338836/22216_6#17.cram;22216_6#17;1.7G;EGAN00001938999;MSM0.93;s1;6-Nitrochrysene (50 uM) + S9
693;EGAF00002338824/20025_6#6.cram;20025_6#6;5.1G;EGAN00001437507;MSM0.57;s2;Acrolein (5 uM)
694;EGAF00002338292/16223_3.cram;16223_3;47G;EGAN00001437316;MSM0.11;s2;Temozolomide (200 uM)
695;EGAF00002339350/22211_2#1.cram;22211_2#1;1.8G;EGAN00001437335;MSM0.15;s2;Mitomycin C (0,313 uM)
696;EGAF00002339816/22914_3#4.cram;22914_3#4;2.3G;EGAN00001939008;MSM0.114;s5;2-Naphthylamine (200 uM) + HS9
697;EGAF00002340473/22746_7#1.cram;22746_7#1;2.0G;EGAN00001938995;MSM0.121;s3;2-Naphthylamine (200 uM)
698;EGAF00002339802/22914_1#10.cram;22914_1#10;2.6G;EGAN00001938990;MSM0.130;s1;DBC (1,5 uM)
699;EGAF00002340094/22152_5#17.cram;22152_5#17;1.4G;EGAN00001938952;MSM0.122;s1;MX (7 uM) + S9
700;EGAF00002338598/16543_5#93.cram;16543_5#93;4.0G;EGAN00001437328;MSM0.3;s2;AAI (1,25 uM)
701;EGAF00002340269/24243_2#2.cram;24243_2#2;8.0G;EGAN00001939029;MSM0.124;s1;Methyleugenol (1,25 mM)
702;EGAF00002340727/22101_3#1.cram;22101_3#1;1.5G;EGAN00001938973;MSM0.119;s1;DMSO Control (0,5%) + S9
703;EGAF00002339126/19056_4#6.cram;19056_4#6;5.3G;EGAN00001437417;MSM0.43;s2;4-ABP (40 uM) + S9
704;EGAF00002339783/22156_8#24.cram;22156_8#24;1.4G;EGAN00001938955;MSM0.104;s1;Formaldehyde (120 uM)
705;EGAF00002339881/22101_1#14.cram;22101_1#14;1.8G;EGAN00001938965;MSM0.118;s2;DMSO Control (0,5%) + HS9
706;EGAF00002338804/20024_7#4.cram;20024_7#4;5.0G;EGAN00001437504;MSM0.60;s5;o-Anisidine (0,85 mM)
707;EGAF00002339574/16532_2#90.cram;16532_2#90;5.4G;EGAN00001437324;MSM0.1;s1;H2O Control (0,1%)
708;EGAF00002340724/22101_2#22.cram;22101_2#22;1.6G;EGAN00001938976;MSM0.107;s1;2,6-Dimethylaniline (11 mM) + S9
709;EGAF00002339029/22217_1#25.cram;22217_1#25;1.2G;EGAN00001938989;MSM0.98;s2;Nickel (II) chloride (412,5 uM)
710;EGAF00002338978/20628_3.cram;20628_3;33G;EGAN00001437450;MSM0.35;s4;Potassium bromate (260 uM)
711;EGAF00002339595/22152_1#8.cram;22152_1#8;1.6G;EGAN00001938968;MSM0.103;s5;DBADE (0,109 uM)
712;EGAF00002340475/22746_7#3.cram;22746_7#3;2.1G;EGAN00001938997;MSM0.121;s5;2-Naphthylamine (200 uM)
713;EGAF00002338570/22216_3#18.cram;22216_3#18;1.4G;EGAN00001939000;MSM0.93;s2;6-Nitrochrysene (50 uM) + S9
714;EGAF00002340208/22152_6#20.cram;22152_6#20;1.4G;EGAN00001938943;MSM0.111;s1;Benzidine (200 uM)
715;EGAF00002340257/22746_3#2.cram;22746_3#2;2.3G;EGAN00001938996;MSM0.121;s4;2-Naphthylamine (200 uM)
716;EGAF00002339217/19221_6#5.cram;19221_6#5;3.6G;EGAN00001437449;MSM0.35;s3;Potassium bromate (260 uM)
717;EGAF00002340477/22746_7#5.cram;22746_7#5;2.4G;EGAN00001939009;MSM0.123;s1;Semustine (700 uM) + S9
718;EGAF00002339835/22100_2#16.cram;22100_2#16;1.9G;EGAN00001938950;MSM0.105;s3;Acetaldehyde (12 mM)
719;EGAF00002339090/21850_6.cram;21850_6;33G;EGAN00001938897;MSM0.96;s2;DBPDE (0,000625 uM)
720;EGAF00002338550/22216_2#23.cram;22216_2#23;1.2G;EGAN00001938980;MSM0.87;s3;3-NBA (0,1 uM)
721;EGAF00002340445/22156_5#11.cram;22156_5#11;1.3G;EGAN00001938962;MSM0.101;s2;Cyclophosphamide (60 uM) + S9
722;EGAF00002339360/22217_6#6.cram;22217_6#6;1.4G;EGAN00001437491;MSM0.53;s6;Glycidamide (475 uM)
723;EGAF00002338742/20024_6#6.cram;20024_6#6;5.0G;EGAN00001437507;MSM0.57;s2;Acrolein (5 uM)
724;EGAF00002339379/22217_7#1.cram;22217_7#1;1.8G;EGAN00001437335;MSM0.15;s2;Mitomycin C (0,313 uM)
725;EGAF00002338120/19684_4#2.cram;19684_4#2;4.4G;EGAN00001437462;MSM0.24;s3;ENU (400 uM)
726;EGAF00002338267/22746_7#11.cram;22746_7#11;2.6G;EGAN00001938991;MSM0.130;s2;DBC (1,5 uM)
727;EGAF00002339823/22914_4#1.cram;22914_4#1;2.2G;EGAN00001938995;MSM0.121;s3;2-Naphthylamine (200 uM)
728;EGAF00002338146/19685_5#6.cram;19685_5#6;5.5G;EGAN00001437458;MSM0.32;s1;Ellipticine (0,125 uM)
729;EGAF00002339986/22152_4#20.cram;22152_4#20;1.4G;EGAN00001938943;MSM0.111;s1;Benzidine (200 uM)
730;EGAF00002339693/22152_1#19.cram;22152_1#19;1.3G;EGAN00001938974;MSM0.119;s2;DMSO Control (0,5%) + S9
731;EGAF00002340100/22152_5#23.cram;22152_5#23;1.4G;EGAN00001938964;MSM0.118;s1;DMSO Control (0,5%) + HS9
732;EGAF00002339791/22204_3#8.cram;22204_3#8;1.8G;EGAN00001938968;MSM0.103;s5;DBADE (0,109 uM)
733;EGAF00002340165/23112_1#2.cram;23112_1#2;9.5G;EGAN00001938969;MSM0.103;s6;DBADE (0,109 uM)
734;EGAF00002338896/20496_2#1.cram;20496_2#1;2.9G;EGAN00001437490;MSM0.53;s2;Glycidamide (475 uM)
735;EGAF00002339966/22101_4#17.cram;22101_4#17;1.6G;EGAN00001938952;MSM0.122;s1;MX (7 uM) + S9
736;EGAF00002339351/22211_2#3.cram;22211_2#3;1.4G;EGAN00001437347;MSM0.9;s6;DMSO Control (0,1%)
737;EGAF00002339105/22217_2#17.cram;22217_2#17;1.7G;EGAN00001938999;MSM0.93;s1;6-Nitrochrysene (50 uM) + S9
738;EGAF00002340016/22216_3#19.cram;22216_3#19;1.5G;EGAN00001938985;MSM0.100;s1;2,6-Dimethylaniline (3,8 mM)
739;EGAF00002338927/22216_8#3.cram;22216_8#3;1.5G;EGAN00001437347;MSM0.9;s6;DMSO Control (0,1%)
740;EGAF00002339970/22152_4#4.cram;22152_4#4;1.3G;EGAN00001938970;MSM0.110;s1;DMH (11,6 mM) + S9
741;EGAF00002340013/22216_2#19.cram;22216_2#19;1.5G;EGAN00001938985;MSM0.100;s1;2,6-Dimethylaniline (3,8 mM)
742;EGAF00002340022/22216_5#19.cram;22216_5#19;1.5G;EGAN00001938985;MSM0.100;s1;2,6-Dimethylaniline (3,8 mM)
743;EGAF00002338262/22211_7#8.cram;22211_7#8;1.4G;EGAN00001437497;MSM0.55;s3;Furan (100 mM) + S9
